model,accuracy_mean,accuracy_std,auc_mean,auc_std,dp_age_mean,dp_age_std,eo_age_mean,eo_age_std,dp_sex_mean,dp_sex_std,eo_sex_mean,eo_sex_std
Logistic Regression,0.7630000000000001,0.02564176280991619,0.7830238095238096,0.021590427090498035,0.05025267614951774,0.04725464211832893,0.07766236352081199,0.033087999968420025,0.061377443098207474,0.04048920047164453,0.05790836356148803,0.038563591354293096
Random Forest,0.759,0.011937336386313334,0.7912142857142856,0.029313092119640283,0.058511399537946616,0.043273777963832784,0.08465366031011032,0.020000496909824368,0.03145795804950371,0.024898508295953192,0.028554183709511106,0.022066084149718557
XGBoost,0.778,0.024899799195977488,0.7842380952380952,0.03124048608010996,0.06283905292337685,0.05663821886867465,0.07251702725839988,0.028642216346315186,0.03023575668540519,0.03809923903083603,0.034706486171763064,0.03388307855291106
